2026-05-01,salary,May salary,3200.00
2026-05-02,food,Groceries Aldi,-86.40
2026-05-03,transport,Metro card,-45.00
2026-05-05,food,Restaurant dinner,-62.30
2026-05-08,utilities,Electricity,-118.75
2026-05-10,entertainment,Cinema tickets,-28.00
2026-05-12,food,Groceries Costco,-143.90
2026-05-15,transport,Gas,-58.20
2026-05-18,entertainment,Concert,-95.00
2026-05-20,food,Takeout pizza,-31.50
2026-05-22,utilities,Internet,-49.99
2026-05-25,food,Groceries Aldi,-92.10
2026-05-28,food,Brunch,-44.80
2026-06-01,salary,June salary,3200.00
2026-06-02,food,Groceries,-101.20
2026-06-04,transport,Metro card,-45.00
2026-06-07,entertainment,Streaming bundle,-35.97
